Customer_ID,Last_Order_Date,Recency_Days,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Value_Segment
CUST-0028,2025-09-26,96,10,621369.55,1,5,5,155,At Risk,High Value
CUST-0029,2025-12-31,0,6,248270.77000000002,5,2,2,522,New Customers,Medium Value
CUST-0030,2025-11-30,31,7,609910.3,3,3,4,334,Loyal Customers,High Value
CUST-0031,2025-12-29,2,8,1291428.38,5,4,5,545,Champions,High Value
CUST-0032,2025-12-15,16,8,354009.77999999997,4,4,3,443,Loyal Customers,Medium Value
CUST-0033,2025-12-18,13,9,406304.23,4,4,3,443,Loyal Customers,Medium Value
CUST-0034,2025-09-06,116,10,171647.0,1,5,2,152,At Risk,Low Value
CUST-0035,2025-10-25,67,7,732289.72,2,3,5,235,At Risk,High Value
CUST-0036,2025-12-26,5,10,484290.33,5,5,4,554,Champions,Medium Value
CUST-0037,2025-11-02,59,8,361380.9,2,4,3,243,At Risk,Medium Value
CUST-0038,2025-11-16,45,7,193109.1,3,3,2,332,Loyal Customers,Low Value
CUST-0039,2025-11-05,56,11,1352799.25,2,5,5,255,At Risk,High Value
CUST-0040,2025-10-31,61,5,655433.58,2,2,5,225,Lost Customers,High Value
CUST-0041,2025-11-22,39,9,137452.49,3,4,1,341,Loyal Customers,Low Value
CUST-0042,2025-11-20,41,6,390805.89,3,2,3,323,Potential Customers,Medium Value
CUST-0043,2025-11-23,38,5,333637.68,3,2,3,323,Potential Customers,Medium Value
CUST-0044,2025-08-06,147,5,273180.42,1,2,2,122,Lost Customers,Medium Value
CUST-0045,2025-12-23,8,9,718846.17,5,4,5,545,Champions,High Value
CUST-0046,2025-12-18,13,7,257924.88,4,3,2,432,Loyal Customers,Medium Value
CUST-0047,2025-11-18,43,10,949532.2200000001,3,5,5,355,Loyal Customers,High Value
CUST-0048,2025-08-20,133,7,545362.45,1,3,4,134,At Risk,High Value
CUST-0049,2025-11-13,48,5,540690.8300000001,3,2,4,324,Potential Customers,High Value
CUST-0050,2025-09-13,109,3,49190.99,1,1,1,111,Lost Customers,Low Value
CUST-0051,2025-11-30,31,4,115198.9,3,1,1,311,Potential Customers,Low Value
CUST-0052,2025-12-01,30,10,415084.44999999995,3,5,3,353,Loyal Customers,Medium Value
CUST-0053,2025-11-05,56,5,129609.53,2,2,1,221,Lost Customers,Low Value
CUST-0054,2025-12-27,4,10,498803.48,5,5,4,554,Champions,High Value
CUST-0055,2025-11-20,41,10,891930.15,3,5,5,355,Loyal Customers,High Value
CUST-0056,2025-12-03,28,10,568425.62,3,5,4,354,Loyal Customers,High Value
CUST-0057,2025-11-06,55,8,983248.2300000001,2,4,5,245,At Risk,High Value
CUST-0058,2025-12-19,12,11,1106806.01,4,5,5,455,Champions,High Value
CUST-0059,2025-11-13,48,8,531510.8,3,4,4,344,Loyal Customers,High Value
CUST-0060,2025-08-16,137,4,130658.05,1,1,1,111,Lost Customers,Low Value
CUST-0061,2025-12-24,7,8,329423.06,5,4,3,543,Loyal Customers,Medium Value
CUST-0062,2025-12-31,0,8,247157.86000000002,5,4,2,542,Loyal Customers,Medium Value
CUST-0063,2025-11-04,57,5,572539.4299999999,2,2,4,224,Lost Customers,High Value
CUST-0064,2025-12-24,7,4,74217.77,5,1,1,511,New Customers,Low Value
CUST-0065,2025-11-27,34,8,565051.26,3,4,4,344,Loyal Customers,High Value
CUST-0066,2025-12-25,6,11,842433.64,5,5,5,555,Champions,High Value
CUST-0067,2025-12-28,3,9,190469.89,5,4,2,542,Loyal Customers,Low Value
CUST-0068,2025-09-04,118,6,102568.51000000001,1,2,1,121,Lost Customers,Low Value
CUST-0069,2025-10-13,79,8,162110.36,2,4,2,242,At Risk,Low Value
CUST-0070,2025-12-05,26,8,254290.30999999997,4,4,2,442,Loyal Customers,Medium Value
CUST-0071,2025-11-05,56,6,205300.25,2,2,2,222,Lost Customers,Low Value
CUST-0072,2025-10-27,65,6,377339.76,2,2,3,223,Lost Customers,Medium Value
CUST-0073,2025-11-23,38,6,73407.08,3,2,1,321,Potential Customers,Low Value
CUST-0074,2025-12-16,15,7,853737.79,4,3,5,435,Loyal Customers,High Value
CUST-0075,2025-07-27,157,4,502205.11,1,1,4,114,Lost Customers,High Value
CUST-0076,2025-11-25,36,7,268346.1,3,3,2,332,Loyal Customers,Medium Value
CUST-0077,2025-12-06,25,5,479753.86000000004,4,2,4,424,New Customers,Medium Value
CUST-0078,2025-12-18,13,6,427954.05000000005,4,2,4,424,New Customers,Medium Value
CUST-0079,2025-11-28,33,8,907975.59,3,4,5,345,Loyal Customers,High Value
CUST-0080,2025-10-01,91,6,433219.27999999997,1,2,4,124,Lost Customers,Medium Value
CUST-0081,2025-12-01,30,7,282788.01,3,3,2,332,Loyal Customers,Medium Value
CUST-0082,2025-12-23,8,8,183003.66999999998,5,4,2,542,Loyal Customers,Low Value
CUST-0083,2025-12-02,29,6,83184.45,3,2,1,321,Potential Customers,Low Value
CUST-0084,2025-09-08,114,6,331613.61,1,2,3,123,Lost Customers,Medium Value
CUST-0085,2025-03-22,284,4,58057.76,1,1,1,111,Lost Customers,Low Value
CUST-0086,2025-09-13,109,3,325498.19,1,1,3,113,Lost Customers,Medium Value
CUST-0087,2025-11-28,33,9,687535.72,3,4,5,345,Loyal Customers,High Value
CUST-0088,2025-09-18,104,2,616376.49,1,1,4,114,Lost Customers,High Value
CUST-0089,2025-10-18,74,8,471929.47,2,4,4,244,At Risk,Medium Value
CUST-0090,2025-12-03,28,8,380298.74,3,4,3,343,Loyal Customers,Medium Value
CUST-0091,2025-11-23,38,3,156901.5,3,1,1,311,Potential Customers,Low Value
CUST-0092,2025-08-11,142,5,193386.92,1,2,2,122,Lost Customers,Low Value
CUST-0093,2025-12-19,12,2,7249.37,4,1,1,411,New Customers,Low Value
CUST-0094,2025-12-27,4,5,196249.16,5,2,2,522,New Customers,Low Value
CUST-0095,2025-11-16,45,10,492445.98000000004,3,5,4,354,Loyal Customers,High Value
CUST-0096,2025-10-26,66,6,117509.20999999999,2,2,1,221,Lost Customers,Low Value
CUST-0097,2025-12-17,14,7,277645.45,4,3,2,432,Loyal Customers,Medium Value
CUST-0098,2025-12-08,23,8,557564.98,4,4,4,444,Champions,High Value
CUST-0099,2025-11-18,43,3,98254.66,3,1,1,311,Potential Customers,Low Value
CUST-0100,2025-12-27,4,7,437891.25,5,3,4,534,Loyal Customers,Medium Value
CUST-0101,2025-12-11,20,5,1243729.57,4,2,5,425,New Customers,High Value
CUST-0102,2025-12-30,1,8,774111.63,5,4,5,545,Champions,High Value
CUST-0103,2025-12-03,28,8,605921.11,3,4,4,344,Loyal Customers,High Value
CUST-0104,2025-11-15,46,4,172491.58000000002,3,1,2,312,Potential Customers,Low Value
CUST-0105,2025-12-17,14,8,1013853.6699999999,4,4,5,445,Champions,High Value
CUST-0106,2025-12-13,18,10,368660.44999999995,4,5,3,453,Loyal Customers,Medium Value
CUST-0107,2025-11-18,43,8,631071.03,3,4,5,345,Loyal Customers,High Value
CUST-0108,2025-12-09,22,7,200314.31,4,3,2,432,Loyal Customers,Low Value
CUST-0109,2025-12-22,9,5,518503.24,5,2,4,524,New Customers,High Value
CUST-0110,2025-10-01,91,5,97427.75,1,2,1,121,Lost Customers,Low Value
CUST-0111,2025-11-07,54,9,1089423.3900000001,2,4,5,245,At Risk,High Value
CUST-0112,2025-11-20,41,5,268204.21,3,2,2,322,Potential Customers,Medium Value
CUST-0113,2025-11-04,57,11,731519.51,2,5,5,255,At Risk,High Value
CUST-0114,2025-08-03,150,5,376826.92,1,2,3,123,Lost Customers,Medium Value
CUST-0115,2025-06-08,206,1,0.0,1,1,1,111,Lost Customers,Low Value
CUST-0116,2025-12-17,14,7,248934.0,4,3,2,432,Loyal Customers,Medium Value
CUST-0117,2025-07-04,180,6,334739.47,1,2,3,123,Lost Customers,Medium Value
CUST-0118,2025-12-20,11,8,315361.81,5,4,3,543,Loyal Customers,Medium Value
CUST-0119,2025-12-06,25,10,569795.4,4,5,4,454,Champions,High Value
CUST-0120,2025-12-01,30,7,281496.02,3,3,2,332,Loyal Customers,Medium Value
CUST-0121,2025-10-20,72,6,244178.86,2,2,2,222,Lost Customers,Low Value
CUST-0122,2025-10-14,78,6,407914.2,2,2,3,223,Lost Customers,Medium Value
CUST-0123,2025-09-22,100,7,484529.66,1,3,4,134,At Risk,Medium Value
CUST-0124,2025-08-15,138,5,186059.36,1,2,2,122,Lost Customers,Low Value
CUST-0125,2025-11-11,50,5,147545.9,2,2,1,221,Lost Customers,Low Value
CUST-0126,2025-11-14,47,8,515864.75,3,4,4,344,Loyal Customers,High Value
CUST-0127,2025-11-19,42,2,103567.88,3,1,1,311,Potential Customers,Low Value
CUST-0128,2025-12-17,14,12,669672.8600000001,4,5,5,455,Champions,High Value
CUST-0129,2025-12-07,24,5,159053.89,4,2,1,421,New Customers,Low Value
CUST-0130,2025-09-22,100,5,282273.56,1,2,2,122,Lost Customers,Medium Value
CUST-0131,2025-11-08,53,6,270970.32,2,2,2,222,Lost Customers,Medium Value
CUST-0132,2025-12-25,6,6,508943.79,5,2,4,524,New Customers,High Value
CUST-0133,2025-08-26,127,4,43610.13,1,1,1,111,Lost Customers,Low Value
CUST-0134,2025-12-19,12,8,284711.99,4,4,3,443,Loyal Customers,Medium Value
CUST-0135,2025-12-24,7,4,611067.3,5,1,4,514,New Customers,High Value
CUST-0136,2025-10-31,61,11,635575.39,2,5,5,255,At Risk,High Value
CUST-0137,2025-12-06,25,4,404434.43,4,1,3,413,New Customers,Medium Value
CUST-0138,2025-12-07,24,6,291442.08,4,2,3,423,New Customers,Medium Value
CUST-0139,2025-12-24,7,6,274951.38,5,2,2,522,New Customers,Medium Value
CUST-0140,2025-11-13,48,6,279546.86,3,2,2,322,Potential Customers,Medium Value
CUST-0141,2025-11-05,56,6,499258.47,2,2,4,224,Lost Customers,High Value
CUST-0142,2025-02-15,319,1,32427.6,1,1,1,111,Lost Customers,Low Value
CUST-0143,2025-06-30,184,5,418713.15,1,2,3,123,Lost Customers,Medium Value
CUST-0144,2025-12-21,10,10,250774.49,5,5,2,552,Loyal Customers,Medium Value
CUST-0145,2025-12-28,3,7,572237.33,5,3,4,534,Loyal Customers,High Value
CUST-0146,2025-12-10,21,4,504516.85,4,1,4,414,New Customers,High Value
CUST-0147,2025-06-20,194,3,74690.99,1,1,1,111,Lost Customers,Low Value
CUST-0148,2025-09-29,93,5,52743.08,1,2,1,121,Lost Customers,Low Value
CUST-0149,2025-10-08,84,5,231818.5,2,2,2,222,Lost Customers,Low Value
CUST-0150,2025-05-13,232,2,34979.18,1,1,1,111,Lost Customers,Low Value
CUST-0151,2025-12-29,2,9,707970.9800000001,5,4,5,545,Champions,High Value
CUST-0152,2025-12-20,11,6,197945.35,5,2,2,522,New Customers,Low Value
CUST-0153,2025-08-21,132,4,92818.72,1,1,1,111,Lost Customers,Low Value
CUST-0154,2025-10-25,67,9,292666.09,2,4,3,243,At Risk,Medium Value
CUST-0155,2025-12-18,13,9,763073.01,4,4,5,445,Champions,High Value
CUST-0156,2025-03-19,287,1,39006.11,1,1,1,111,Lost Customers,Low Value
CUST-0157,2025-08-24,129,6,318080.64,1,2,3,123,Lost Customers,Medium Value
CUST-0158,2025-10-10,82,5,95473.23000000001,2,2,1,221,Lost Customers,Low Value
CUST-0159,2025-12-21,10,12,339049.25,5,5,3,553,Loyal Customers,Medium Value
CUST-0160,2025-10-25,67,4,177870.49,2,1,2,212,Lost Customers,Low Value
CUST-0161,2025-12-02,29,8,952620.9299999999,3,4,5,345,Loyal Customers,High Value
CUST-0162,2025-11-18,43,7,961540.35,3,3,5,335,Loyal Customers,High Value
CUST-0163,2025-12-08,23,7,399814.74,4,3,3,433,Loyal Customers,Medium Value
CUST-0164,2025-12-26,5,11,661545.53,5,5,5,555,Champions,High Value
CUST-0165,2025-10-30,62,9,576056.26,2,4,4,244,At Risk,High Value
CUST-0166,2025-09-11,111,5,504590.97,1,2,4,124,Lost Customers,High Value
CUST-0167,2025-12-31,0,7,196456.54,5,3,2,532,Loyal Customers,Low Value
CUST-0168,2025-09-21,101,5,177285.8,1,2,2,122,Lost Customers,Low Value
CUST-0169,2025-10-25,67,8,834906.72,2,4,5,245,At Risk,High Value
CUST-0170,2025-10-03,89,6,427468.33999999997,1,2,4,124,Lost Customers,Medium Value
CUST-0171,2025-12-07,24,6,112630.98000000001,4,2,1,421,New Customers,Low Value
CUST-0172,2025-07-21,163,8,509617.36,1,4,4,144,At Risk,High Value
CUST-0173,2025-11-17,44,7,698220.02,3,3,5,335,Loyal Customers,High Value
CUST-0174,2025-10-29,63,3,685791.14,2,1,5,215,Lost Customers,High Value
CUST-0175,2025-12-31,0,7,218114.51,5,3,2,532,Loyal Customers,Low Value
CUST-0176,2025-12-31,0,8,265161.32999999996,5,4,2,542,Loyal Customers,Medium Value
CUST-0177,2025-12-31,0,4,143035.05,5,1,1,511,New Customers,Low Value
CUST-0178,2025-12-29,2,6,216908.41,5,2,2,522,New Customers,Low Value
CUST-0179,2025-12-25,6,10,512075.97000000003,5,5,4,554,Champions,High Value
CUST-0180,2025-12-28,3,8,691210.53,5,4,5,545,Champions,High Value
CUST-0181,2025-11-18,43,6,114181.06,3,2,1,321,Potential Customers,Low Value
CUST-0182,2025-07-04,180,3,279286.83999999997,1,1,2,112,Lost Customers,Medium Value
CUST-0183,2025-02-07,327,1,4164.28,1,1,1,111,Lost Customers,Low Value
CUST-0184,2025-12-24,7,6,374759.78,5,2,3,523,New Customers,Medium Value
CUST-0185,2025-12-23,8,6,596356.98,5,2,4,524,New Customers,High Value
CUST-0186,2025-12-23,8,11,272248.67,5,5,2,552,Loyal Customers,Medium Value
CUST-0187,2025-12-14,17,11,572390.16,4,5,4,454,Champions,High Value
CUST-0188,2025-09-01,121,5,356597.91000000003,1,2,3,123,Lost Customers,Medium Value
CUST-0189,2025-12-17,14,8,136751.72,4,4,1,441,Loyal Customers,Low Value
CUST-0190,2025-11-12,49,4,98167.63,2,1,1,211,Lost Customers,Low Value
CUST-0191,2025-10-12,80,5,96927.92,2,2,1,221,Lost Customers,Low Value
CUST-0192,2025-12-17,14,12,286162.58,4,5,3,453,Loyal Customers,Medium Value
CUST-0193,2025-12-31,0,11,641650.5700000001,5,5,5,555,Champions,High Value
CUST-0194,2025-10-19,73,7,825324.7100000001,2,3,5,235,At Risk,High Value
CUST-0195,2025-11-27,34,9,602516.78,3,4,4,344,Loyal Customers,High Value
CUST-0196,2025-12-11,20,9,384547.68,4,4,3,443,Loyal Customers,Medium Value
CUST-0197,2025-10-17,75,6,88683.29,2,2,1,221,Lost Customers,Low Value
CUST-0198,2025-12-30,1,3,75884.16,5,1,1,511,New Customers,Low Value
CUST-0199,2025-12-10,21,7,131476.98,4,3,1,431,Loyal Customers,Low Value
CUST-0200,2025-12-13,18,7,394531.76,4,3,3,433,Loyal Customers,Medium Value
CUST-0201,2025-12-25,6,7,587467.4500000001,5,3,4,534,Loyal Customers,High Value
CUST-0202,2025-11-23,38,5,516805.51,3,2,4,324,Potential Customers,High Value
CUST-0203,2025-12-28,3,4,57326.020000000004,5,1,1,511,New Customers,Low Value
CUST-0204,2025-12-09,22,8,828536.02,4,4,5,445,Champions,High Value
CUST-0205,2025-12-10,21,11,464672.72000000003,4,5,4,454,Champions,Medium Value
CUST-0206,2025-12-02,29,5,222179.97,3,2,2,322,Potential Customers,Low Value
CUST-0207,2025-10-25,67,6,467610.86000000004,2,2,4,224,Lost Customers,Medium Value
CUST-0208,2025-11-21,40,7,542511.21,3,3,4,334,Loyal Customers,High Value
CUST-0209,2025-10-18,74,8,436905.3,2,4,4,244,At Risk,Medium Value
CUST-0210,2025-12-21,10,4,339951.14,5,1,3,513,New Customers,Medium Value
CUST-0211,2025-12-04,27,5,172512.33000000002,3,2,2,322,Potential Customers,Low Value
CUST-0212,2025-12-12,19,8,181830.83000000002,4,4,2,442,Loyal Customers,Low Value
CUST-0213,2025-12-14,17,7,497060.19,4,3,4,434,Loyal Customers,High Value
CUST-0214,2025-11-24,37,8,649032.23,3,4,5,345,Loyal Customers,High Value
CUST-0215,2025-12-30,1,8,325396.44,5,4,3,543,Loyal Customers,Medium Value
CUST-0216,2025-11-20,41,8,351310.57,3,4,3,343,Loyal Customers,Medium Value
CUST-0217,2025-11-18,43,5,118367.76999999999,3,2,1,321,Potential Customers,Low Value
CUST-0218,2025-12-04,27,3,146350.49000000002,3,1,1,311,Potential Customers,Low Value
CUST-0219,2025-11-16,45,10,232105.14,3,5,2,352,Loyal Customers,Low Value
CUST-0220,2025-12-20,11,7,924082.44,5,3,5,535,Loyal Customers,High Value
CUST-0221,2025-11-08,53,6,400315.73,2,2,3,223,Lost Customers,Medium Value
CUST-0222,2025-08-23,130,6,127427.56,1,2,1,121,Lost Customers,Low Value
CUST-0223,2025-08-13,140,5,243783.78,1,2,2,122,Lost Customers,Low Value
CUST-0224,2025-12-18,13,3,489045.49,4,1,4,414,New Customers,High Value
CUST-0225,2025-10-12,80,10,547337.3,2,5,4,254,At Risk,High Value
CUST-0226,2025-11-04,57,6,309126.76,2,2,3,223,Lost Customers,Medium Value
CUST-0227,2025-10-28,64,5,371937.36000000004,2,2,3,223,Lost Customers,Medium Value
CUST-0228,2025-10-23,69,5,188697.86000000002,2,2,2,222,Lost Customers,Low Value
CUST-0229,2025-12-14,17,7,495003.61,4,3,4,434,Loyal Customers,High Value
CUST-0230,2025-12-26,5,12,536808.55,5,5,4,554,Champions,High Value
CUST-0231,2025-10-21,71,5,194717.81,2,2,2,222,Lost Customers,Low Value
CUST-0232,2025-12-09,22,7,492092.24,4,3,4,434,Loyal Customers,High Value
CUST-0233,2025-11-06,55,8,538874.81,2,4,4,244,At Risk,High Value
CUST-0234,2025-11-02,59,6,270050.75,2,2,2,222,Lost Customers,Medium Value
CUST-0235,2025-12-30,1,10,475128.3,5,5,4,554,Champions,Medium Value
CUST-0236,2025-12-28,3,8,441339.80999999994,5,4,4,544,Champions,Medium Value
CUST-0237,2025-10-15,77,7,276497.24,2,3,2,232,At Risk,Medium Value
CUST-0238,2025-12-23,8,8,340646.69,5,4,3,543,Loyal Customers,Medium Value
CUST-0239,2025-11-16,45,6,192108.27,3,2,2,322,Potential Customers,Low Value
CUST-0240,2025-11-10,51,8,449162.09,2,4,4,244,At Risk,Medium Value
CUST-0241,2025-10-10,82,9,682006.88,2,4,5,245,At Risk,High Value
CUST-0242,2025-12-23,8,9,748077.03,5,4,5,545,Champions,High Value
CUST-0243,2025-10-03,89,6,210221.88,1,2,2,122,Lost Customers,Low Value
CUST-0244,2025-12-09,22,3,185071.08,4,1,2,412,New Customers,Low Value
CUST-0245,2025-12-19,12,6,726547.41,4,2,5,425,New Customers,High Value
CUST-0246,2025-11-25,36,7,345619.43000000005,3,3,3,333,Loyal Customers,Medium Value
CUST-0247,2025-08-06,147,2,356208.33,1,1,3,113,Lost Customers,Medium Value
CUST-0248,2025-10-23,69,5,101689.73999999999,2,2,1,221,Lost Customers,Low Value
CUST-0249,2025-12-31,0,8,381010.85,5,4,3,543,Loyal Customers,Medium Value
CUST-0250,2025-12-18,13,5,105766.73,4,2,1,421,New Customers,Low Value
CUST-0251,2025-10-24,68,5,200671.02,2,2,2,222,Lost Customers,Low Value
CUST-0252,2025-12-21,10,11,275689.91,5,5,2,552,Loyal Customers,Medium Value
CUST-0253,2025-12-05,26,7,233589.0,4,3,2,432,Loyal Customers,Low Value
CUST-0254,2025-12-29,2,5,237848.08000000002,5,2,2,522,New Customers,Low Value
CUST-0255,2025-11-26,35,5,64604.61,3,2,1,321,Potential Customers,Low Value
CUST-0256,2025-12-25,6,8,401281.83,5,4,3,543,Loyal Customers,Medium Value
CUST-0257,2025-08-25,128,2,27869.28,1,1,1,111,Lost Customers,Low Value
CUST-0258,2025-08-08,145,8,279978.85,1,4,2,142,At Risk,Medium Value
CUST-0259,2025-12-30,1,6,297294.48,5,2,3,523,New Customers,Medium Value
CUST-0260,2025-11-20,41,9,604101.5299999999,3,4,4,344,Loyal Customers,High Value
CUST-0261,2025-11-15,46,4,186318.55,3,1,2,312,Potential Customers,Low Value
CUST-0262,2025-11-30,31,7,659624.62,3,3,5,335,Loyal Customers,High Value
CUST-0263,2025-12-08,23,9,1479297.18,4,4,5,445,Champions,High Value
CUST-0264,2025-11-22,39,5,796804.8300000001,3,2,5,325,Potential Customers,High Value
CUST-0265,2025-12-28,3,10,841081.1699999999,5,5,5,555,Champions,High Value
CUST-0266,2025-11-18,43,4,236543.75999999998,3,1,2,312,Potential Customers,Low Value
CUST-0267,2025-12-18,13,3,84617.35,4,1,1,411,New Customers,Low Value
CUST-0268,2025-10-23,69,10,775098.15,2,5,5,255,At Risk,High Value
CUST-0269,2025-11-06,55,5,332921.61,2,2,3,223,Lost Customers,Medium Value
CUST-0270,2025-10-15,77,10,430093.52,2,5,4,254,At Risk,Medium Value
CUST-0271,2025-08-28,125,8,532277.87,1,4,4,144,At Risk,High Value
CUST-0272,2025-10-03,89,7,346790.77,1,3,3,133,At Risk,Medium Value
CUST-0273,2025-12-31,0,4,75035.73000000001,5,1,1,511,New Customers,Low Value
CUST-0274,2025-10-05,87,3,274507.48,1,1,2,112,Lost Customers,Medium Value
CUST-0275,2025-07-14,170,7,180372.12,1,3,2,132,At Risk,Low Value
CUST-0276,2025-08-21,132,3,263519.73,1,1,2,112,Lost Customers,Medium Value
CUST-0277,2025-10-15,77,8,446227.79000000004,2,4,4,244,At Risk,Medium Value
CUST-0278,2025-12-28,3,5,248016.94,5,2,2,522,New Customers,Medium Value
CUST-0279,2025-11-13,48,5,82402.86,3,2,1,321,Potential Customers,Low Value
CUST-0280,2025-11-14,47,7,899672.2,3,3,5,335,Loyal Customers,High Value
CUST-0281,2025-12-27,4,8,620657.24,5,4,4,544,Champions,High Value
CUST-0282,2025-12-31,0,9,441769.31000000006,5,4,4,544,Champions,Medium Value
CUST-0283,2025-03-23,283,2,17393.53,1,1,1,111,Lost Customers,Low Value
CUST-0284,2025-12-08,23,9,1353090.67,4,4,5,445,Champions,High Value
CUST-0285,2025-12-13,18,3,218407.31,4,1,2,412,New Customers,Low Value
CUST-0286,2025-10-04,88,7,80234.48,1,3,1,131,At Risk,Low Value
CUST-0287,2025-09-10,112,2,158741.62,1,1,1,111,Lost Customers,Low Value
CUST-0288,2025-12-10,21,7,179161.63,4,3,2,432,Loyal Customers,Low Value
CUST-0289,2025-12-10,21,9,262821.95999999996,4,4,2,442,Loyal Customers,Medium Value
CUST-0290,2025-12-20,11,5,604300.52,5,2,4,524,New Customers,High Value
CUST-0291,2025-06-01,213,3,192638.6,1,1,2,112,Lost Customers,Low Value
CUST-0292,2025-08-28,125,4,104741.25,1,1,1,111,Lost Customers,Low Value
CUST-0293,2025-12-28,3,14,889197.29,5,5,5,555,Champions,High Value
CUST-0294,2025-08-22,131,4,127750.21,1,1,1,111,Lost Customers,Low Value
CUST-0295,2025-09-14,108,3,70823.3,1,1,1,111,Lost Customers,Low Value
CUST-0296,2025-11-23,38,12,976550.89,3,5,5,355,Loyal Customers,High Value
CUST-0297,2025-11-27,34,5,257301.45,3,2,2,322,Potential Customers,Medium Value
CUST-0298,2025-11-25,36,13,586141.79,3,5,4,354,Loyal Customers,High Value
CUST-0299,2025-12-05,26,3,149302.86,4,1,1,411,New Customers,Low Value
CUST-0300,2025-12-21,10,4,254409.51,5,1,2,512,New Customers,Medium Value
CUST-0301,2025-08-23,130,8,257125.76,1,4,2,142,At Risk,Medium Value
CUST-0302,2025-09-06,116,7,239593.87,1,3,2,132,At Risk,Low Value
CUST-0303,2025-11-06,55,14,383140.13,2,5,3,253,At Risk,Medium Value
CUST-0304,2025-11-21,40,3,44499.32,3,1,1,311,Potential Customers,Low Value
CUST-0305,2025-12-01,30,8,458848.69000000006,3,4,4,344,Loyal Customers,Medium Value
CUST-0306,2025-12-19,12,2,70601.8,4,1,1,411,New Customers,Low Value
CUST-0307,2025-10-26,66,7,372260.11,2,3,3,233,At Risk,Medium Value
CUST-0308,2025-09-13,109,8,798264.35,1,4,5,145,At Risk,High Value
CUST-0309,2025-12-19,12,8,710217.09,4,4,5,445,Champions,High Value
CUST-0310,2025-11-06,55,4,286741.32,2,1,3,213,Lost Customers,Medium Value
CUST-0311,2025-11-24,37,6,648888.5599999999,3,2,5,325,Potential Customers,High Value
CUST-0312,2025-12-12,19,6,410405.07999999996,4,2,3,423,New Customers,Medium Value
CUST-0313,2025-12-08,23,5,191277.81,4,2,2,422,New Customers,Low Value
CUST-0314,2025-09-30,92,5,649396.41,1,2,5,125,Lost Customers,High Value
CUST-0315,2025-10-23,69,9,463140.59,2,4,4,244,At Risk,Medium Value
CUST-0316,2025-12-11,20,8,613191.07,4,4,4,444,Champions,High Value
CUST-0317,2025-08-30,123,7,566621.51,1,3,4,134,At Risk,High Value
CUST-0318,2025-10-29,63,9,604659.3200000001,2,4,4,244,At Risk,High Value
CUST-0319,2025-10-28,64,4,426052.01,2,1,3,213,Lost Customers,Medium Value
CUST-0320,2025-10-19,73,7,482502.98000000004,2,3,4,234,At Risk,Medium Value
CUST-0321,2025-11-20,41,5,126601.79000000001,3,2,1,321,Potential Customers,Low Value
CUST-0322,2025-12-24,7,6,207882.52000000002,5,2,2,522,New Customers,Low Value
